,0,1,2,Average
SVR,0.0,4.91145822028073,9.503985505499116,4.805147908593282
Random Forest,0.0,5.534676684690384,9.150119108707587,4.894931931132657
KNN,0.0,8.380789937503737,6.991506041366274,5.124098659623336
Gradient Boosting,0.0,4.7027069670114,8.732994009211154,4.478566992074184
XGBoost,0.0,6.901664132637807,12.549771803161306,6.483811978599704
LightGBM,0.0,5.799326883245172,9.931249999999999,5.24352562774839
CatBoost,0.0,5.643055511808267,8.007480512225277,4.550178674677848
ElasticNet,0.0,5.7124999999999995,8.17363770515324,4.628712568384413
AdaBoost,0.0,6.17467782649107,8.01984936870925,4.731509065066773
Bagging,0.0,4.81770822028073,8.16984936870925,4.329185862996661
Bayesian Ridge,0.0,5.57482775323564,10.117619282486325,5.230815678573989
SVR RBF,0.0,4.7027069670114,6.935256041366274,3.879321002792558
Gradient Boosting Regressor,0.0,4.7027069670114,8.732994009211154,4.478566992074184
Random Forest Tuned,0.0,5.534676684690384,7.637913706334524,4.390863463674969
DNN,0.0,4.9937499999999995,8.6081321815162,4.533960727172066
RF Variant,0.0,7.420714556237384,8.264515027035575,5.228409861090987
Column Based Linear regression,0.0,7.269877319029898,9.241786977771003,5.503888098933634
Column Based SVR,0.0,4.483998598878879,8.67583893101359,4.386612509964157
LSTM,0.0,3.213598480983499,7.356941098690901,3.5235131932247996
LSTM Column,0.0,4.6677684888855016,7.37210630295202,4.013291597279174
Transformer,0.0,15.45053537953402,10.59787614216338,8.6828038405658
LightBoost,0.0,3.5792856398964488,9.600674480928078,4.393320040274842
