,0,1,2,Average
SVR,0.0,1.0,0.0,0.3333333333333333
Random Forest,0.0,0.0,0.0,0.0
KNN,0.0,2.0,0.0,0.6666666666666666
Gradient Boosting,0.0,0.0,0.0,0.0
XGBoost,0.0,0.0,2.0,0.6666666666666666
LightGBM,0.0,0.0,0.0,0.0
CatBoost,0.0,0.0,0.0,0.0
ElasticNet,0.0,0.0,0.0,0.0
AdaBoost,0.0,0.0,0.0,0.0
Bagging,0.0,0.0,0.0,0.0
Bayesian Ridge,0.0,1.0,0.0,0.3333333333333333
SVR RBF,0.0,1.0,1.0,0.6666666666666666
Gradient Boosting Regressor,0.0,0.0,0.0,0.0
Random Forest Tuned,0.0,0.0,0.0,0.0
DNN,0.0,1.0,0.0,0.3333333333333333
RF Variant,0.0,0.0,0.0,0.0
Column Based Linear regression,0.0,1.0,0.0,0.3333333333333333
Column Based SVR,0.0,1.0,1.0,0.6666666666666666
LSTM,0.0,1.0,1.0,0.6666666666666666
LSTM Column,0.0,1.0,0.0,0.3333333333333333
Transformer,0.0,0.0,0.0,0.0
LightBoost,0.0,0.0,0.0,0.0
