,0,1,2
Actual numbers,To be predicted,3 - 9 - 21 - 27 - 39 - 3,6 - 10 - 17 - 21 - 40 - 16
SVR,To be predicted,R39,
Random Forest,To be predicted,,
KNN,To be predicted,R9 & R27,
Gradient Boosting,To be predicted,,
XGBoost,To be predicted,,R21 & R40
LightGBM,To be predicted,,
CatBoost,To be predicted,,
ElasticNet,To be predicted,,
AdaBoost,To be predicted,,
Bagging,To be predicted,,
Bayesian Ridge,To be predicted,R21,
SVR RBF,To be predicted,R21,R21
Gradient Boosting Regressor,To be predicted,,
Random Forest Tuned,To be predicted,,
DNN,To be predicted,R21,
RF Variant,To be predicted,,
Column Based Linear regression,To be predicted,R9,
Column Based SVR,To be predicted,R39,R6
LSTM,To be predicted,R27,R21
LSTM Column,To be predicted,R21,
Transformer,To be predicted,,
Count Found,1,4,3
All Found Numbers,['To be predicted'],"['R21', 'R27', 'R39', 'R9']","['R21', 'R40', 'R6']"
All Found Complementary,[],[],[]
LightBoost,To be predicted,,
